Unnamed: 0,id,name,RT_Amide6min,RT_Amide12min,RT_Amide23min,RT_RP,RT_RP6min,monoisotopic_mass,formula,smiles,inchikey,inchikey1,IsomericSMILES,RT,MolecularWeight
7625,D2V2,"2,6-dihydroxyanthracene-9,10-dione",21.0,43.2,,358.2,214.8,240.0422588,C14H8O4,Oc1ccc2C(=O)c3cc(O)ccc3C(=O)c2c1,APAJFZPFBHMFQR-UHFFFAOYSA-N,APAJFZPFBHMFQR,C1=CC2=C(C=C1O)C(=O)C3=C(C2=O)C=C(C=C3)O,3.58,240.21399999999997
7626,E2T0,4-hydroxy-3-[(4-hydroxy-6-methyl-2-oxo-pyran-3-yl)methyl]-6-methyl-pyran-2-one,17.4,28.8,,315.6,192.0,264.0633882,C13H12O6,Cc1cc(O)c(Cc2c(O)cc(C)oc2=O)c(=O)o1,DVLLGHPCJPEUHA-UHFFFAOYSA-N,DVLLGHPCJPEUHA,CC1=CC(=C(C(=O)O1)CC2=C(C=C(OC2=O)C)O)O,3.2,264.23299999999995
7627,D3G7,3-hydroxy-4-phenyl-1H-quinolin-2-one,19.8,42.0,,391.8,228.6,237.0789786,C15H11NO2,Oc1c(-c2ccccc2)c2ccccc2[nH]c1=O,QSRVMXWVVMILDI-UHFFFAOYSA-N,QSRVMXWVVMILDI,C1=CC=C(C=C1)C2=C(C(=O)NC3=CC=CC=C32)O,3.81,237.258
7628,D9K5,3-hydroxy-2-octyl-pentanedioic acid,145.8,297.6,,420.0,244.8,260.162374,C13H24O5,CCCCCCCCC(C(O)CC(O)=O)C(O)=O,ROYIOVVKJBERGN-UHFFFAOYSA-N,ROYIOVVKJBERGN,CCCCCCCCC(C(CC(=O)O)O)C(=O)O,4.08,260.33
7629,B3S0,Xanthoxyletin,18.6,,,411.0,238.8,258.089209,C15H14O4,COc1c2C=CC(C)(C)Oc2cc2oc(=O)ccc12 |c:4|,JSJIIHRNDMLJGK-UHFFFAOYSA-N,JSJIIHRNDMLJGK,CC1(C=CC2=C(O1)C=C3C(=C2OC)C=CC(=O)O3)C,3.98,258.27299999999997
7630,E3P9,"4,6,7-trihydroxy-10-methyl-3-methylene-2-oxaspiro[4.5]decan-1-one",18.0,35.4,,306.0,186.6,228.0997737,C11H16O5,CC1CCC(O)C(O)C11C(O)C(=C)OC1=O,BJGLVYXAHLWJSA-UHFFFAOYSA-N,BJGLVYXAHLWJSA,CC1CCC(C(C12C(C(=C)OC2=O)O)O)O,3.11,228.24399999999997
7631,D3R1,N-(1-benzyl-2-hydroxy-ethyl)benzamide,19.2,34.8,,348.6,209.4,255.1259289,C16H17NO2,OCC(Cc1ccccc1)NC(=O)c1ccccc1,RFYNAVYPYXLVOM-UHFFFAOYSA-N,RFYNAVYPYXLVOM,C1=CC=C(C=C1)CC(CO)NC(=O)C2=CC=CC=C2,3.49,255.317
7632,E5S7,3-hydroxy-2-isobutyl-3-methyl-5-oxo-tetrahydrofuran-2-carboxylic acid,,,,267.6,169.2,216.0997737,C10H16O5,CC(C)CC1(OC(=O)CC1(C)O)C(O)=O,ZYAPACSDFMXKAK-UHFFFAOYSA-N,ZYAPACSDFMXKAK,CC(C)CC1(C(CC(=O)O1)(C)O)C(=O)O,2.82,216.23299999999998
7635,E3N5,methyl 2-(2-hydroxypropanoylamino)-3-methyl-butanoate,19.2,34.2,,276.6,172.2,203.1157581,C9H17NO4,COC(=O)C(NC(=O)C(C)O)C(C)C,WDKOBPGTYYAAKJ-UHFFFAOYSA-N,WDKOBPGTYYAAKJ,CC(C)C(C(=O)OC)NC(=O)C(C)O,2.87,203.238
7636,D9T7,(E)-6-hydroxy-2-methyl-6-(p-tolyl)hept-2-enoic acid,21.0,43.2,,383.4,229.2,248.1412446,C15H20O3,C\C(=C/CCC(C)(O)c1ccc(C)cc1)C(O)=O,JPYPXCYONUJEGT-LFYBBSHMSA-N,JPYPXCYONUJEGT,CC1=CC=C(C=C1)C(C)(CC/C=C(\C)/C(=O)O)O,3.82,248.32199999999997
